,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,Location,RainToday,RainTomorrow
1,2025-02-1,12.3,30.1,0.0,,,E,39.0,18.3,75.0,8.0,SE,11.0,1021.3,28.8,41.0,1.0,NE,20.0,1017.8,Canberra,No,No
2,2025-02-2,17.1,33.1,0.0,,,E,39.0,20.1,65.0,8.0,E,9.0,1020.6,31.2,24.0,,ESE,17.0,1015.8,Canberra,No,No
3,2025-02-3,10.6,34.1,0.0,,,NE,35.0,20.4,63.0,,SSE,9.0,1018.2,32.8,24.0,,NW,11.0,1013.9,Canberra,No,No
4,2025-02-4,13.4,35.7,0.0,,,NNW,52.0,22.1,72.0,,NW,6.0,1014.3,33.3,27.0,3.0,NW,24.0,1009.4,Canberra,No,No
5,2025-02-5,19.8,34.4,0.0,,,S,54.0,24.4,54.0,7.0,ESE,9.0,1011.3,31.2,34.0,8.0,WNW,13.0,1008.8,Canberra,No,Yes
6,2025-02-6,14.7,33.4,4.6,,,ENE,33.0,19.7,77.0,8.0,SE,6.0,1015.3,31.9,32.0,,NNW,19.0,1011.9,Canberra,Yes,No
7,2025-02-7,14.0,35.4,0.0,,,W,78.0,21.8,76.0,,SW,7.0,1012.1,33.5,32.0,,NW,15.0,1007.5,Canberra,No,Yes
8,2025-02-8,16.8,31.3,5.8,,,SE,41.0,21.5,79.0,,SE,6.0,1009.2,28.1,45.0,8.0,WNW,15.0,1005.5,Canberra,Yes,No
9,2025-02-9,14.2,29.1,0.0,,,SSE,50.0,21.2,71.0,5.0,E,15.0,1011.1,29.0,40.0,4.0,NNW,9.0,1008.3,Canberra,No,Yes
10,2025-02-10,15.3,26.0,16.8,,,S,48.0,16.5,98.0,8.0,SW,9.0,1011.3,25.4,48.0,,N,9.0,1009.9,Canberra,Yes,Yes
11,2025-02-11,11.8,25.7,1.6,,,SE,24.0,17.3,81.0,1.0,SW,0.0,1012.2,24.0,47.0,8.0,SSE,17.0,1009.8,Canberra,Yes,No
12,2025-02-12,11.7,28.1,0.8,,,ENE,43.0,17.9,89.0,,SSE,7.0,1013.7,26.4,48.0,6.0,E,20.0,1011.1,Canberra,No,No
13,2025-02-13,16.4,30.2,0.0,,,NE,37.0,22.5,70.0,7.0,NE,24.0,1011.4,27.2,52.0,8.0,NE,19.0,1007.4,Canberra,No,Yes
14,2025-02-14,18.2,25.7,10.0,,,WNW,52.0,18.7,100.0,8.0,SE,9.0,1006.4,24.6,67.0,8.0,N,13.0,1003.3,Canberra,Yes,Yes
15,2025-02-15,12.8,22.1,7.6,,,WNW,50.0,17.1,75.0,,NW,17.0,1002.9,21.3,32.0,,W,28.0,1002.3,Canberra,Yes,No
16,2025-02-16,3.2,19.7,0.0,,,SSW,43.0,10.5,47.0,,S,17.0,1009.9,18.1,30.0,3.0,SW,13.0,1010.6,Canberra,No,No
17,2025-02-17,4.1,24.0,0.0,,,SE,31.0,12.1,60.0,,SE,13.0,1019.7,21.2,27.0,,NE,9.0,1016.6,Canberra,No,No
18,2025-02-18,5.6,26.6,0.0,,,NW,33.0,11.6,91.0,8.0,SE,0.0,1015.2,24.7,28.0,,WNW,9.0,1011.0,Canberra,No,No
19,2025-02-19,10.2,26.9,0.0,,,ENE,44.0,16.2,78.0,2.0,E,6.0,1014.5,26.1,27.0,,NW,20.0,1011.0,Canberra,No,No
20,2025-02-20,14.6,24.4,0.0,,,E,37.0,15.6,72.0,8.0,SSE,11.0,1019.1,22.2,49.0,5.0,NE,13.0,1018.6,Canberra,No,No
21,2025-02-21,7.2,27.7,0.0,,,,,16.0,68.0,,SE,7.0,1024.9,26.2,37.0,,N,13.0,1021.0,Canberra,No,No
22,2025-02-22,16.0,30.5,0.0,,,WSW,28.0,19.8,68.0,1.0,E,6.0,1023.7,28.6,37.0,,NW,13.0,1019.1,Canberra,No,No
23,2025-02-23,12.6,28.3,0.0,,,NW,41.0,20.1,77.0,3.0,NNE,6.0,1018.3,25.5,49.0,7.0,NNW,20.0,1016.1,Canberra,No,No
24,2025-02-24,14.3,33.2,0.2,,,E,46.0,21.7,71.0,4.0,ENE,2.0,1017.5,31.6,31.0,,NW,24.0,1016.4,Canberra,No,No
25,2025-02-25,15.5,24.8,0.0,,,ENE,35.0,18.7,70.0,8.0,SSE,9.0,1024.8,23.0,54.0,5.0,NNE,20.0,1022.6,Canberra,No,No
26,2025-02-26,15.4,32.9,0.0,,,NNW,33.0,18.3,70.0,8.0,ESE,6.0,1022.3,31.0,39.0,,WNW,13.0,1016.8,Canberra,No,No
27,2025-02-27,15.3,35.1,0.0,,,NW,52.0,22.3,68.0,,SSE,6.0,1017.5,33.8,28.0,1.0,NNW,22.0,1013.5,Canberra,No,No
28,2025-02-28,14.7,33.9,0.0,,,WNW,48.0,21.9,70.0,2.0,N,2.0,1014.2,32.4,24.0,,WNW,30.0,1012.1,Canberra,No,
